ID,session_type,type
168472015439942,bilendi,success
167125427159079,bilendi,success
164295163852922,bilendi,success
167917381206037,bilendi,success
167323567486063,bilendi,success
168011267854402,bilendi,screen out
168110329383963,bilendi,success
168472056362107,bilendi,success
167125458044027,bilendi,screen out
168472054619217,bilendi,success
168472055389206,bilendi,success
166705853814797,bilendi,success
168472061958192,bilendi,success
168472059913227,bilendi,success
166707110806592,bilendi,success
166687837494296,bilendi,screen out
167125458044027,bilendi,success
168472014717040,bilendi,screen out
168472059831298,bilendi,success
168011305774136,bilendi,success
168472058385497,bilendi,success
168472017561682,bilendi,success
168472057795615,bilendi,success
168472015943806,bilendi,success
168472016625749,bilendi,screen out
168472015048730,bilendi,success
168472014930950,bilendi,screen out
166707623891977,bilendi,screen out
168362482670713,bilendi,screen out
168472058482791,bilendi,screen out
168472014369868,bilendi,screen out
168472014763127,bilendi,success
168472017687654,bilendi,success
168472061249606,bilendi,screen out
168472056706075,bilendi,success
167298147050502,bilendi,success
168472059716721,bilendi,success
166527055592570,bilendi,screen out
168362483130443,bilendi,success
168472056135777,bilendi,screen out
166705831177270,bilendi,screen out
168472059753590,bilendi,success
167125428466738,bilendi,success
168472015701087,bilendi,success
168109781062668,bilendi,success
167125427256435,bilendi,success
166707083843694,bilendi,success
168110328943730,bilendi,success
167755150122042,bilendi,success
168362482661495,bilendi,success
168472060059680,bilendi,screen out
166705851842660,bilendi,screen out
168472013669405,bilendi,success
168472054282305,bilendi,screen out
168108338084989,bilendi,success
168472062258270,bilendi,screen out
168011266007134,bilendi,screen out
168108370454640,bilendi,screen out
168472055010412,bilendi,success
168362483458055,bilendi,screen out
168110328919148,bilendi,screen out
167211531166721,bilendi,screen out
168472062338156,bilendi,screen out
167326049516592,bilendi,success
168472062170189,bilendi,success
168472055202943,bilendi,success
166707623654479,bilendi,success
166527081654386,bilendi,success
167298182475856,bilendi,success
167326047860738,bilendi,screen out
168011308777583,bilendi,success
167825436655713,bilendi,success
166687813484663,bilendi,success
168362485017632,bilendi,success
168362482896925,bilendi,screen out
168472057745433,bilendi,success
168472058603640,bilendi,success
167125428008978,bilendi,success
168110292163692,bilendi,success
168472055557160,bilendi,screen out
166705851586632,bilendi,screen out
167825429006420,bilendi,success
168472015602772,bilendi,success
168362485995595,bilendi,success
168110331094029,bilendi,success
168472057659404,bilendi,success
