ID,session_type,type
168472015439942,bilendi,success
167125427159079,bilendi,success
164295163852922,bilendi,success
167917381206037,bilendi,success
167323567486063,bilendi,success
168011267854402,bilendi,screen out
168110329383963,bilendi,success
168472056362107,bilendi,success
167125458044027,bilendi,screen out
168472054619217,bilendi,success
168472055389206,bilendi,success
166705853814797,bilendi,success
168472061958192,bilendi,success
168472059913227,bilendi,success
166707110806592,bilendi,success
166687837494296,bilendi,screen out
167125458044027,bilendi,success
168472014717040,bilendi,screen out
168472059831298,bilendi,success
168011305774136,bilendi,success
168472058385497,bilendi,success
168472017561682,bilendi,success
168472057795615,bilendi,success
168472015943806,bilendi,success
168472016625749,bilendi,screen out
168472015048730,bilendi,success
168472014930950,bilendi,screen out
166707623891977,bilendi,screen out
168362482670713,bilendi,screen out
168472058482791,bilendi,screen out
168472014369868,bilendi,screen out
168472014763127,bilendi,success
168472017687654,bilendi,success
168472061249606,bilendi,screen out
168472056706075,bilendi,success
167298147050502,bilendi,success
168472059716721,bilendi,success
166527055592570,bilendi,screen out
168362483130443,bilendi,success
168472056135777,bilendi,screen out
166705831177270,bilendi,screen out
168472059753590,bilendi,success
167125428466738,bilendi,success
168472015701087,bilendi,success
168109781062668,bilendi,success
167125427256435,bilendi,success
166707083843694,bilendi,success
168110328943730,bilendi,success
167755150122042,bilendi,success
168362482661495,bilendi,success
168472060059680,bilendi,screen out
166705851842660,bilendi,screen out
168472013669405,bilendi,success
168472054282305,bilendi,screen out
168108338084989,bilendi,success
168472062258270,bilendi,screen out
168011266007134,bilendi,screen out
168108370454640,bilendi,screen out
168472055010412,bilendi,success
168362483458055,bilendi,screen out
168110328919148,bilendi,screen out
167211531166721,bilendi,screen out
168472062338156,bilendi,screen out
167326049516592,bilendi,success
168472062170189,bilendi,success
168472055202943,bilendi,success
166707623654479,bilendi,success
166527081654386,bilendi,success
167298182475856,bilendi,success
167326047860738,bilendi,screen out
168011308777583,bilendi,success
167825436655713,bilendi,success
166687813484663,bilendi,success
168362485017632,bilendi,success
168362482896925,bilendi,screen out
168472057745433,bilendi,success
168472058603640,bilendi,success
167125428008978,bilendi,success
168110292163692,bilendi,success
168472055557160,bilendi,screen out
166705851586632,bilendi,screen out
167825429006420,bilendi,success
168472015602772,bilendi,success
168362485995595,bilendi,success
168110331094029,bilendi,success
168472057659404,bilendi,success
168472057122897,bilendi,screen out
166706691471363,bilendi,success
168109780598898,bilendi,success
168472056657942,bilendi,success
168362365093957,bilendi,screen out
167323567436858,bilendi,screen out
168109647071232,bilendi,success
168472057324653,bilendi,success
168362485766171,bilendi,success
168110331172952,bilendi,success
167321333999700,bilendi,success
168472015793261,bilendi,success
167323140668474,bilendi,success
166705831177269,bilendi,success
168362366710862,bilendi,success
168472057579522,bilendi,success
168472055001195,bilendi,screen out
167322068075643,bilendi,success
168108368853109,bilendi,screen out
168472059824128,bilendi,success
168472014917636,bilendi,success
168472056808486,bilendi,success
166705831013381,bilendi,success
168472056391804,bilendi,screen out
168472013967408,bilendi,success
168110292791418,bilendi,screen out
168472015363134,bilendi,success
168472016519237,bilendi,success
168110292917333,bilendi,success
164056117976126,bilendi,success
168011265953874,bilendi,screen out
168472058304596,bilendi,success
168472015015957,bilendi,success
168472056800292,bilendi,screen out
168472056406142,bilendi,screen out
166707083532312,bilendi,success
168472014697581,bilendi,success
168362487750714,bilendi,screen out
168362364949554,bilendi,success
167125427167279,bilendi,screen out
168472055963724,bilendi,success
168472055967821,bilendi,success
168110329996403,bilendi,success
168109647658022,bilendi,success
168109781446773,bilendi,success
167825424303123,bilendi,success
168362487235629,bilendi,success
167917382596632,bilendi,success
168472062365811,bilendi,success
168362366787674,bilendi,success
167298147137559,bilendi,success
168109647890464,bilendi,success
167755150452857,bilendi,screen out
167755150928989,bilendi,screen out
168472016694366,bilendi,success
168472058929175,bilendi,success
164212406016111,bilendi,success
167825380555903,bilendi,success
166705832293398,bilendi,success
168472015356989,bilendi,success
167125457242233,bilendi,success
168362483814472,bilendi,success
168472057192537,bilendi,success
166707623861368,bilendi,success
168472061983797,bilendi,screen out
166707650543649,bilendi,success
168109648067604,bilendi,success
168472014713967,bilendi,success
166611699381333,bilendi,success
168472014302278,bilendi,screen out
166687814215709,bilendi,success
167125427670107,bilendi,screen out
168472061760532,bilendi,screen out
167825425421375,bilendi,success
168472058139715,bilendi,success
166705855187050,bilendi,success
168472054230078,bilendi,success
166705855187050,bilendi,success
168472014043190,bilendi,screen out
167322096630835,bilendi,success
167298183913575,bilendi,success
166687815076984,bilendi,screen out
168472054642770,bilendi,success
168472056632338,bilendi,screen out
