ID,session_type,type
,bilendi,screen out
166527081307154,bilendi,screen out
166527082362942,bilendi,success
166527055565940,bilendi,success
166527083961426,bilendi,success
166527085492324,bilendi,success
166527055611909,bilendi,success
166527056159781,bilendi,success
166527083660327,bilendi,success
166527056876656,bilendi,success
166527056889858,bilendi,success
166527086213174,bilendi,success
166527082523721,bilendi,screen out
166527081540681,bilendi,success
166527055041585,bilendi,success
166527081701378,bilendi,success
166527081775128,bilendi,screen out
166527054944289,bilendi,success
166527054864411,bilendi,success
166527054854167,bilendi,screen out
166527056118803,bilendi,success
166527082531915,bilendi,success
166527056451594,bilendi,success
166527081611367,bilendi,success
166527056902158,bilendi,success
166527081711622,bilendi,screen out
166527055918157,bilendi,success
166527086209074,bilendi,screen out
166527082519622,bilendi,screen out
166527082019879,bilendi,success
166527056896008,bilendi,screen out
166527082957925,bilendi,success
166527054997551,bilendi,success
166527084327015,bilendi,screen out
166527081458744,bilendi,success
166527054869532,bilendi,success
166527085853738,bilendi,success
166527081556045,bilendi,success
166527085741073,bilendi,success
166527082851423,bilendi,success
166527081315348,bilendi,success
166527083137148,bilendi,success
166527055611907,bilendi,screen out
166527056861290,bilendi,success
166527081556044,bilendi,success
166527080892500,bilendi,success
166527081716743,bilendi,success
166527086148622,bilendi,success
166527055947865,bilendi,screen out
166527083079794,bilendi,success
166527082475589,bilendi,success
166527056904219,bilendi,success
166527084554252,bilendi,success
166527080878159,bilendi,success
166527086175256,bilendi,success
164115708642425,bilendi,success
166527082126384,bilendi,screen out
166527083013228,bilendi,screen out
166527056011382,bilendi,success
166527081452597,bilendi,success
166527054854168,bilendi,screen out
166527082696787,bilendi,screen out
166527081063533,bilendi,success
166527082753110,bilendi,screen out
166527055849527,bilendi,success
166527086236758,bilendi,success
164056118135919,bilendi,success
166527055681569,bilendi,screen out
166527081589853,bilendi,success
166527080689727,bilendi,success
166527055341633,bilendi,screen out
166527055770664,bilendi,screen out
166527085160565,bilendi,success
166527081266181,bilendi,success
166527055956060,bilendi,screen out
166527085138022,bilendi,screen out
166527081248895,bilendi,success
166527086267496,bilendi,success
166527081775127,bilendi,success
166527056902160,bilendi,success
166527081602149,bilendi,screen out
166527055487077,bilendi,success
166527055234104,bilendi,success
166527055924303,bilendi,screen out
164212377175137,bilendi,success
166527055396945,bilendi,success
166527083299856,bilendi,success
166527080612920,bilendi,success
166527055822900,bilendi,success
166527055593595,bilendi,screen out
166527083530267,bilendi,screen out
164115709820932,bilendi,success
166527082039338,bilendi,screen out
166527085147244,bilendi,screen out
166527086231625,bilendi,success
166527086238813,bilendi,success
166527081752592,bilendi,success
166527080665146,bilendi,screen out
166527081163890,bilendi,screen out
166527080697922,bilendi,success
166527081060460,bilendi,screen out
166527080458286,bilendi,success
166527081768982,bilendi,success
166527055439964,bilendi,success
166527056803930,bilendi,screen out
166527055623180,bilendi,screen out
166527081481276,bilendi,success
166527055892550,bilendi,screen out
166527086231624,bilendi,success
166527054983211,bilendi,success
166527055972456,bilendi,success
166527055435867,bilendi,success
164295163941898,bilendi,success
166527080813643,bilendi,success
166527055775785,bilendi,screen out
166527083716658,bilendi,screen out
166527055993969,bilendi,success
166527081948197,bilendi,success
164212406255647,bilendi,success
166611698619416,bilendi,screen out
166611616743545,bilendi,screen out
166611698616343,bilendi,success
166611697726528,bilendi,success
166611617773631,bilendi,screen out
166611701019755,bilendi,screen out
166611616444491,bilendi,success
166611618127901,bilendi,success
166611618120728,bilendi,success
166611699968107,bilendi,success
166611697687609,bilendi,screen out
166611616723053,bilendi,success
166611615640578,bilendi,success
166527084370030,bilendi,screen out
166611699333190,bilendi,screen out
166611615986714,bilendi,screen out
166611698872396,bilendi,success
166611618765902,bilendi,success
166611699590147,bilendi,success
166611616109602,bilendi,success
166611697970293,bilendi,success
166611699159065,bilendi,success
166611701151812,bilendi,success
166611699566712,bilendi,screen out
166611698606100,bilendi,success
166611615632384,bilendi,success
166611617709111,bilendi,success
166611698470001,bilendi,success
166611701133353,bilendi,success
166611618349160,bilendi,success
164115708039225,bilendi,success
166611699053690,bilendi,screen out
166611700996187,bilendi,success
166611697710143,bilendi,success
166611699107850,bilendi,success
166611698291774,bilendi,success
166611697626162,bilendi,success
166611699016815,bilendi,success
166611618235463,bilendi,screen out
166611617499177,bilendi,success
166611699526772,bilendi,success
166611698442347,bilendi,screen out
166611618794600,bilendi,success
166611700970580,bilendi,success
166527081966630,bilendi,success
166611618709560,bilendi,success
166611615564925,bilendi,success
166611697707070,bilendi,success
166611697342478,bilendi,success
166527056059395,bilendi,success
166611616387142,bilendi,success
166611701116951,bilendi,screen out
166611697453087,bilendi,screen out
166611697854555,bilendi,success
166611697928297,bilendi,success
166611698086919,bilendi,success
164056117893132,bilendi,screen out
166611698410587,bilendi,success
166611697596460,bilendi,screen out
166611615761415,bilendi,screen out
166527082179636,bilendi,success
166611700610172,bilendi,screen out
166611618165802,bilendi,success
166527054997551,bilendi,success
166527056614437,bilendi,success
166611699001450,bilendi,success
166611697366031,bilendi,screen out
166611698541570,bilendi,success
166611697668150,bilendi,screen out
166611617880143,bilendi,success
166527056903188,bilendi,success
164115733334137,bilendi,success
166611699208228,bilendi,success
166611616557152,bilendi,success
166611618775124,bilendi,success
166611701107730,bilendi,success
166611698424932,bilendi,success
164295163937800,bilendi,screen out
166611618004094,bilendi,screen out
166611701117983,bilendi,screen out
166611615709190,bilendi,success
166611616973831,bilendi,screen out
166527056039037,bilendi,success
166611698482292,bilendi,screen out
166611616474201,bilendi,success
166611699687452,bilendi,success
166611698459758,bilendi,success
166611699851338,bilendi,success
166611615576191,bilendi,success
166611699672087,bilendi,success
166611700762652,bilendi,success
166611618783328,bilendi,success
166611700556907,bilendi,success
166527056844901,bilendi,success
166527081230458,bilendi,success
166611618160681,bilendi,success
166611615916051,bilendi,success
166611616297014,bilendi,success
166611697575978,bilendi,screen out
166611698943068,bilendi,success
166611699137554,bilendi,success
166527085733901,bilendi,success
166611697805391,bilendi,success
166611616572517,bilendi,screen out
166611698528380,bilendi,success
166611698068482,bilendi,success
166611616190510,bilendi,success
166611699785783,bilendi,screen out
166611698830400,bilendi,screen out
166611699672085,bilendi,success
166611701116954,bilendi,screen out
166527055461472,bilendi,success
166611698192412,bilendi,success
166611698226216,bilendi,success
166611700778018,bilendi,screen out
166611698869323,bilendi,success
166611698817082,bilendi,success
166611697608752,bilendi,screen out
166687815088253,bilendi,screen out
166687813918728,bilendi,screen out
166687838089233,bilendi,success
166687837337722,bilendi,success
166687836332075,bilendi,screen out
166687837118534,bilendi,screen out
166687839194213,bilendi,success
166687815079035,bilendi,success
166687838717959,bilendi,success
166687838952497,bilendi,success
166687816689758,bilendi,success
166687837999222,bilendi,success
166687838120985,bilendi,success
166687838062602,bilendi,success
166687838039044,bilendi,success
166687836318760,bilendi,success
166687837630516,bilendi,screen out
166687839637580,bilendi,success
166687838576740,bilendi,success
166687837647928,bilendi,success
166687838020733,bilendi,success
166687837382782,bilendi,success
166687836698745,bilendi,success
166687839115342,bilendi,success
166687815803922,bilendi,success
166687838270519,bilendi,success
166611618701366,bilendi,success
166687836274720,bilendi,success
166687836698745,bilendi,success
166687837876310,bilendi,success
166687837087806,bilendi,success
166611699364944,bilendi,success
166687815789583,bilendi,success
166687838048263,bilendi,success
166687814759487,bilendi,success
166687839104074,bilendi,screen out
166687838424140,bilendi,success
166687836253212,bilendi,screen out
166687836430409,bilendi,success
166687836180502,bilendi,success
166687815544907,bilendi,success
166687837467665,bilendi,success
166687836395582,bilendi,success
166611698915414,bilendi,success
166687814973537,bilendi,success
166611697669175,bilendi,success
166687815365681,bilendi,success
166527083742265,bilendi,success
166687838080015,bilendi,success
166687815119874,bilendi,success
166687836477523,bilendi,success
166687838993459,bilendi,screen out
166687836733443,bilendi,success
166687837848658,bilendi,success
166687814778947,bilendi,success
166687838177317,bilendi,screen out
166687838010491,bilendi,success
166687837071418,bilendi,success
166687814984805,bilendi,success
166687836213271,bilendi,success
166687836524636,bilendi,screen out
166687836483668,bilendi,success
166687838710790,bilendi,screen out
166687837899867,bilendi,success
