timestamp,participant_ID,experimenter_ID_code,experimenter_ASGS_total_score,laboratory_ID_code,sitePI_ASGS_total_score,session_type,consent_screen_answer,refused_to_answer_sexual_orientation_question,age,sex,final_consent,ESP_Q_item_1,ESP_Q_item_2,ESP_Q_item_3,SS_Q_item_1,SS_Q_item_2,trial_number,guessed_side,target_side,reward_type,sides_match,trial_type,available_trial_type,in_lab
"eac523fb417d3a468d482527b50bf996a3e7e89db047b298e5129b103423a477 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",bf176da8-b54d-4328-bd3e-0e312c519359,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,18-29,Female,yes,Don’t know,Definitely no,Occasionally,between true and untrue,between true and untrue,16,left,left,neutral,true,t,4,0
"6d90d6ef05bf4564c0b5dd2e0cb228c355e71fd801b59548c895949ad14386ef Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 Edg/87.0.664.66",227554e9-d37b-4ce5-9eef-f4f583f68d55,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,60+,Female,yes,Probably does,Don't know,Only a few times,true,very untrue,5,left,left,erotic,true,t,4,0
"cb3e90415b22f7e8be39d85e7f596f65cada0f43d3278fd78c7904a52f5b198b Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",bf176da8-b54d-4328-bd3e-0e312c519359,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,18-29,Female,yes,Don’t know,Definitely no,Occasionally,between true and untrue,between true and untrue,17,right,left,neutral,false,t,4,0
"80b8939890365cf8f9a3627bf655692ecf004356e362a9088260304edd33d7be Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 Edg/87.0.664.66",227554e9-d37b-4ce5-9eef-f4f583f68d55,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,60+,Female,yes,Probably does,Don't know,Only a few times,true,very untrue,6,right,left,erotic,false,sh,4,0
"b3f12631a796b6b0c864026ea19c5f660523448eb9482a33243b80efb803d91a Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",09b6ed6e-a176-4e89-bdf1-8805cab7e55f,60ebda8d7c2a468911061ac54b777ac1bbc6a96db422afd3e0c630eca82d5574,12,ac7b8cd1d60ddda8655187a1669b3dee9163863c55064de0bced8eb4e489a9d2,12,online,yes,no,60+,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"803c4f8c8bb3eb8d4fbb8448c58f67161f9f815aad2779ad0fc51abeb04c9231 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",bf176da8-b54d-4328-bd3e-0e312c519359,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,18-29,Female,yes,Don’t know,Definitely no,Occasionally,between true and untrue,between true and untrue,18,left,right,erotic,false,sh,4,0
"bbf7f3e90f92b2f58f4864ebe0f77667003ce7b17b40caf02d7b7836591f40a8 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 Edg/87.0.664.66",227554e9-d37b-4ce5-9eef-f4f583f68d55,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,60+,Female,yes,Probably does,Don't know,Only a few times,true,very untrue,7,left,right,erotic,false,t,4,0
"49b701e9b0794cf7e6d294a2f31344a5154976d1175ea4ed38f7a0bed1a9e34b Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",bf176da8-b54d-4328-bd3e-0e312c519359,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,18-29,Female,yes,Don’t know,Definitely no,Occasionally,between true and untrue,between true and untrue,19,left,right,neutral,false,sh,4,0
"6b03afa4e13db8c1577fd9e088ccfe7c556ed6c1a4d12317698ec58bd46e487a Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36 Edg/87.0.664.66",227554e9-d37b-4ce5-9eef-f4f583f68d55,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,60+,Female,yes,Probably does,Don't know,Only a few times,true,very untrue,8,left,left,erotic,true,t,4,0
"81c10330cfbce9f1347f2b8d3bd5621baa6ac1b564643e29ee8cc86e5e27c937 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",bf176da8-b54d-4328-bd3e-0e312c519359,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,18-29,Female,yes,Don’t know,Definitely no,Occasionally,between true and untrue,between true and untrue,20,left,right,erotic,false,t,4,0
"79631878641e72dad0eb9d500ce24f3005804e9f0fe3dc17c3838c3d84247a83 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",bf176da8-b54d-4328-bd3e-0e312c519359,08ff307e6d5d21d350fe794ad83f8dcfc4222419bb8287f613d5b1f7b039e82e,11,19ead6243e9f206c9a7705fe53a83e9652ed8cbb4d7ec99ac93532bb2510185c,11,online,yes,no,18-29,Female,yes,Don’t know,Definitely no,Occasionally,between true and untrue,between true and untrue,21,left,left,erotic,true,sh,4,0
